;cntry_code;AUS;AUT;BEL;BRA;BGR;CAN;CHN;HRV;CYP;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;IND;IDN;IRL;ITA;JPN;LVA;LTU;LUX;MLT;MEX;NLD;NOR;POL;PRT;ROM;WWF;WWL;WWA;WWE;WWM;RUS;SVK;SVN;ZAF;KOR;ESP;SWE;CHE;TWN;TUR;GBR;USA
year;HANPP in 1000 t C;Australia;Austria;Belgium;Brazil;Bulgaria;Canada;China;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finnland;France;Germany;Greece;Hungary;India;Indonesia;Ireland;Italy;Japan;Latvia;Lithuania;Luxembourg;Malta;Mexico;Netherlands;Norway;Poland;Portugal;Romania;RoW Africa;RoW America;RoW Asia and Pacific;RoW Europe;RoW Middle East;Russia;Slovakia;Slovenia;South Africa;South Korea;Spain;Sweden;Switzerland;Taiwan;Turkey;United Kingdom;USA
2001;HANPP cropland (area);129191.2571;7803.973861;4008.777189;407083.2385;14184.89258;156584.4776;610301.3966;8080.95153;139.4519896;16923.09455;11818.58334;3278.454871;8105.875382;96164.92009;58022.91407;12760.56686;25021.69998;710816.6502;351020.6069;3610.564676;50402.8319;22978.31625;5830.324879;12586.86144;183.6546519;21.44426808;98531.58372;4063.146774;4689.867383;63054.66629;10116.87062;45576.07376;940451.9782;474265.0967;672071.1787;214556.2087;21587.80102;308718.5424;7021.009618;1770.383479;32668.27124;11134.6875;59748.89691;12605.68327;2366.670824;992.3239942;60428.34048;27335.67919;638265.3141
2001;HANPP woodland;23741.48921;5987.039672;2054.805333;206343.7474;2098.702858;75593.99241;182631.3401;2536.390761;89.58305631;5882.850847;1211.921146;3749.97553;18610.15207;32743.38173;20740.23708;1511.94409;2394.531138;174815.6608;94918.68876;5340.535446;5041.795284;7149.167312;4972.960274;2577.686667;92.83304824;0;37775.08589;2291.255485;4903.451227;10756.65602;3367.470641;6632.617212;396119.2123;178800.9316;207084.4234;11688.68668;7727.407704;69594.91916;2934.923794;862.2496418;23403.60075;2970.350179;8221.349739;21217.09464;3081.905772;688.7608945;9746.03095;10947.49999;199901.9608
2001;HANPP grassland;63161.22105;7497.77158;7577.193146;426195.6027;2862.307243;71951.65586;409242.0819;0;230.0537135;2159.892863;3165.042105;92.9619263;9422.763404;41629.4012;30538.15103;3366.969197;2677.317587;231997.1211;121640.7968;17014.2468;10765.52985;9850.958341;254.3421328;0;376.263306;0;69767.50637;9500.773077;9815.358708;10751.37699;3965.26733;8425.544702;732960.0032;482387.8306;523290.8085;22507.59147;24085.95399;90146.29448;2362.423155;5970.194405;37041.64272;5502.145524;11781.41637;12986.60852;4539.576322;665.2921766;21084.952;35410.59601;206616.5526
2001;HANPP built up;3952.374833;1923.747476;1381.522272;15772.08702;1339.984007;11149.05259;35857.55221;1043.662243;5.797685319;2254.531749;1189.367811;370.7978413;1759.398191;12951.94096;17478.03126;1482.695642;2156.817729;24451.85733;14186.8742;1731.659427;10653.1707;17194.12658;625.1586305;924.8193387;59.27172296;0;3253.478622;1977.29969;1904.471825;8013.14164;1656.080407;4142.023664;36209.71912;21574.58926;46209.4406;20556.90054;1071.934072;38987.56376;1184.993657;469.2063981;13855.15485;1780.034755;6010.875764;3747.035335;1692.859587;631.4795599;1149.924606;12123.92994;108109.1461
2000;HANPP cropland (area);130872.125;7878.533464;4182.667863;388495.4231;14092.09125;154419.2096;602743.1734;8707.819833;128.5967924;17512.79787;12015.887;3098.836504;8299.037737;101216.2022;58838.14735;12646.40358;25180.29179;699825.6137;343857.0256;3621.176772;51875.41035;23329.9618;4981.690788;12817.92787;178.0171187;18.92582059;97070.17648;4153.323984;4742.166615;65836.23761;11103.38836;44736.36088;892343.6257;484952.2352;666234.6766;214538.8049;20032.84155;309106.838;7184.62197;1904.208228;34919.47354;11082.14835;63106.71933;12818.18191;2426.225767;982.6142038;62730.48382;27527.34593;637200.646
2000;HANPP woodland;11734.22868;5519.200754;2048.069561;119984.0578;2015.870331;75050.19236;184952.5205;2718.662981;8.584494002;5690.974022;845.2490181;4049.146903;21670.40397;29528.87781;18230.13915;922.2502489;2538.97951;165506.8071;87226.60745;1018.279981;3801.585285;6596.526645;4829.193704;2562.837045;87.16719906;0;20698.80956;440.8834116;3243.698747;10022.4086;3489.442764;5408.70417;265491.6228;70801.98805;156718.5656;9810.201255;1532.521906;67158.07185;2791.504891;790.7282263;17436.89443;2407.398726;6334.111201;23976.12151;2548.400407;697.5148014;6175.830679;3085.559533;188426.8675
2000;HANPP grassland;75860.13323;7614.030545;7810.172405;499546.8667;2896.367639;70589.84655;396941.6777;0;286.7763222;2101.429822;3723.019838;116.2024079;6444.432814;46097.13754;32163.02782;4036.661445;2693.84305;244057.8433;132064.9881;21008.23329;12595.75849;10811.16817;317.927666;0;332.4061183;0;82141.59583;11753.93773;11366.61424;10202.19969;3952.081797;8962.836082;845466.2019;582663.4013;578638.2488;19214.10245;29849.33026;93414.37438;2417.258386;5732.749523;41760.2745;6141.570061;13023.07485;8813.248746;5149.028714;647.1089974;24741.36897;43429.37306;211413.676
2000;HANPP built up;3981.098812;1915.054061;1403.754359;15418.63565;1299.463889;10736.26089;34964.09529;1033.589899;5.491672015;2269.067828;1201.182302;367.1973316;1774.307596;13453.88164;17577.20726;1441.137102;2136.59546;23783.61217;14048.13598;1716.310993;10727.51967;17215.60365;622.3102198;919.8525976;59.74471667;0;3134.027704;1994.308611;1896.599274;8133.420131;1745.343979;4031.474134;35019.39829;21361.31813;45194.15325;20380.42002;969.500635;38532.88657;1192.325312;464.4674173;14128.90573;1729.804319;6291.23458;3743.262343;1699.019196;615.4264388;1157.620596;12041.66336;105667.4486
1999;HANPP cropland (area);131644.4067;7844.024718;4104.325841;391547.5722;14422.08175;154065.8068;595505.2023;8685.708131;131.0084707;17275.11006;11888.40714;3204.356728;8225.973497;100133.2821;58346.04401;11274.01789;24688.87947;704920.3106;337650.496;3677.015274;52398.98517;23602.69719;5151.325141;13254.39833;174.6828303;19.8647296;97325.88798;4131.079163;4693.530234;65556.3522;11196.6459;44700.5234;878439.242;475029.299;665360.3608;221111.1108;19650.63959;319632.4087;7087.110591;1899.372886;35134.43093;11150.10414;63458.70111;12647.60194;2406.41605;1850.613475;62621.17877;27849.06464;642063.163
1999;HANPP woodland;11362.43307;5623.281245;2046.892169;118093.0853;1999.750824;74043.84599;182751.8332;2714.911762;9.773860788;5605.198967;854.2420271;4375.770312;21209.35716;28518.58938;18719.69503;938.7928669;2555.989725;165888.4704;88617.09458;980.2958533;3754.665842;7059.788524;5218.739391;2769.567646;87.11708847;0;20548.25797;454.1414099;3359.682078;9759.530065;3524.82206;5452.088852;260485.3351;69696.4571;156632.6646;10481.39842;1507.228991;72575.3607;2749.430989;789.6371772;17042.69273;2394.097789;6389.270726;23666.88532;2495.858617;656.4406107;6141.823335;3036.708197;189980.2334
